  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
    0 1991  0      33.61     0.58     0.00  1483.22     0.94 139588.35 139588.35 22958.22   385.22   291.74   344.15   210.79     3.12   361.38    63.00    25.00     1.00    74.00    97.00   304.15     0.00     1.09     0.99  1518.35 
    0 1992  0      32.04     0.73     0.00  1491.12     0.87 141113.11 141113.11 23269.86   514.55   291.72   344.03   211.94     3.12   273.46    63.00    25.00     1.00    74.00    97.00   305.98     0.00     1.08     0.99  1524.76 
    0 1993  0      31.10     0.44     0.00  1496.56     0.88 142642.09 142642.09 23540.30   618.73   291.69   343.91   213.08     3.12   229.77    63.00    25.00     1.00    74.00    97.00   307.81     0.00     1.07     0.99  1528.98 
    0 1994  0      30.43     0.48     0.00  1507.21     0.79 144181.00 144181.00 23765.99   704.92   291.68   343.78   214.23     3.12   203.76    63.00    25.00     1.00    74.00    97.00   309.65     0.00     1.07     0.99  1538.91 
    0 1995  0      30.11     0.49     0.00  1500.32     0.88 145712.80 145712.80 23947.45   773.93   291.69   343.67   215.36     3.12   187.57    63.00    25.00     1.00    74.00    97.00   311.49     0.00     1.05     0.99  1531.80 
    0 1996  0      29.57     0.63     0.00  1487.52     0.83 147231.35 147231.35 24076.73   827.51   291.68   343.55   216.48     3.12   177.16    63.00    25.00     1.00    74.00    97.00   313.31     0.00     1.03     0.99  1518.55 
    0 1997  0      27.92     0.44     0.00  1479.04     0.57 148739.32 148739.32 24151.60   863.81   291.68   343.42   217.59     3.12   171.48    63.00    25.00     1.00    74.00    97.00   315.11     0.00     1.01     0.99  1507.97 
    0 1998  0      27.53     0.73     0.00  1454.46     0.57 150222.61 150222.61 24183.30   891.47   291.68   343.31   218.67     3.12   167.76    62.81    24.93     1.00    74.78    96.91   316.89     0.00     0.99     0.99  1483.29 
    0 1999  0      24.74     0.35     0.00  1391.04     0.61 151639.35 151639.35 24163.17   906.63   291.69   343.20   219.70     3.12   166.49    61.44    24.38     0.98    79.72    96.21   318.59     0.00     0.93     0.99  1416.74 
    0 2000  0      21.94     0.26     0.00  1253.41     0.49 152915.45 152915.45 24104.55   913.90   291.71   343.09   220.62     3.12   166.60    57.57    22.84     0.91    90.64    94.17   320.11     0.00     0.83     1.00  1276.10 
    0 2001  0      18.77     0.00     0.00  1104.36     0.29 154038.87 154038.87 24032.00   914.23   291.73   343.00   221.43     3.12   167.76    52.19    20.71     0.83    98.44    91.16   321.46     0.00     0.73     1.00  1123.42 
    0 2002  0      16.58     0.00     0.00   984.94     0.22 155040.61 155040.61 23944.03   911.91   291.74   342.92   222.15     3.12   169.29    46.97    18.64     0.75   100.00    87.95   322.66     0.00     0.65     1.00  1001.74 
    0 2003  0      14.33     0.00     0.00   868.97     0.24 155924.15 155924.15 23855.33   910.96   291.75   342.85   222.78     3.12   170.47    42.27    16.77     0.67   100.00    84.72   323.72     0.00     0.57     1.00   883.54 
    0 2004  0      12.51     0.00     0.00   768.93     0.24 156705.83 156705.83 23763.63   906.82   291.77   342.79   223.34     3.12   172.11    38.05    15.10     0.60   100.00    81.48   324.65     0.00     0.50     1.00   781.68 
    0 2005  0      11.34     0.00     0.00   686.10     0.32 157403.59 157403.59 23670.80   904.01   291.78   342.73   223.84     3.12   173.42    34.24    13.59     0.54   100.00    78.24   325.49     0.00     0.44     1.00   697.76 
    0 2006  0      10.44     0.00     0.00   602.53     0.40 158016.96 158016.96 23587.64   900.80   291.79   342.68   224.27     3.12   174.76    30.82    12.23     0.49   100.00    74.98   326.22     0.00     0.39     1.00   613.37 
    0 2007  0       8.84     0.00     0.00   536.61     0.33 158562.74 158562.74 23502.69   896.78   291.81   342.64   224.66     3.12   176.11    27.74    11.01     0.44   100.00    71.72   326.88     0.00     0.34     1.00   545.78 
    0 2008  0       7.81     0.00     0.00   481.27     0.34 159052.16 159052.16 23424.54   893.71   291.82   342.60   225.01     3.13   177.32    24.96     9.91     0.40   100.00    68.45   327.46     0.00     0.31     1.00   489.42 
    0 2009  0       6.53     0.00     0.00   431.61     0.41 159490.71 159490.71 23350.68   889.48   291.83   342.56   225.32     3.13   178.65    22.47     8.91     0.36   100.00    65.18   327.99     0.00     0.27     1.00   438.55 
    0 2010  0       6.03     0.00     0.00   389.97     0.25 159886.96 159886.96 23283.72   885.99   291.84   342.53   225.60     3.13   179.81    20.22     8.02     0.32   100.00    61.90   328.46     0.00     0.25     1.00   396.25 
    0 2011  0       5.78     0.00     0.00   359.00     0.31 160252.05 160252.05 23214.62   883.05   291.85   342.50   225.85     3.13   180.86    18.20     7.22     0.29   100.00    58.61   328.90     0.00     0.23     1.00   365.09 
    0 2012  0       4.86     0.00     0.00   326.89     0.20 160584.00 160584.00 23156.91   880.03   291.86   342.47   226.09     3.13   181.79    16.38     6.50     0.26   100.00    55.32   329.30     0.00     0.21     1.00   331.95 
    0 2013  0       4.51     0.00     0.00   289.64     0.17 160878.32 160878.32 23103.64   876.91   291.87   342.44   226.29     3.13   182.82    14.74     5.85     0.23   100.00    52.03   329.65     0.00     0.18     1.00   294.32 
    0 2014  0       3.71     0.00     0.00   264.27     0.24 161146.54 161146.54 23049.39   872.21   291.87   342.42   226.48     3.13   184.06    13.27     5.26     0.21   100.00    48.73   329.97     0.00     0.17     1.00   268.22 
    0 2015  0       3.82     0.00     0.00   238.86     0.33 161389.55 161389.55 23000.94   869.90   291.88   342.40   226.65     3.13   184.85    11.94     4.74     0.19   100.00    45.43   330.26     0.00     0.15     1.00   243.01 
    0 2016  0       3.22     0.00     0.00   216.02     0.33 161609.12 161609.12 22956.45   867.87   291.88   342.38   226.81     3.13   185.60    10.75     4.26     0.17   100.00    42.13   330.52     0.00     0.14     1.00   219.57 
    0 2017  0       2.95     0.00     0.00   191.74     0.34 161804.15 161804.15 22917.38   865.25   291.89   342.36   226.94     3.13   186.31     9.67     3.84     0.15   100.00    38.83   330.76     0.00     0.12     1.00   195.03 
    0 2018  0       2.52     0.00     0.00   177.60     0.34 161984.61 161984.61 22879.02   863.71   291.89   342.35   227.07     3.13   186.86     8.70     3.45     0.14   100.00    35.52   330.97     0.00     0.11     1.00   180.46 
    0 2019  0       2.29     0.00     0.00   164.26     0.31 162151.47 162151.47 22843.77   861.70   291.89   342.34   227.19     3.13   187.50     7.83     3.11     0.12   100.00    32.21   331.17     0.00     0.10     1.00   166.86 
    0 2020  0       2.07     0.00     0.00   147.27     0.36 162301.17 162301.17 22809.25   860.66   291.90   342.32   227.29     3.13   187.95     7.05     2.80     0.11   100.00    28.90   331.35     0.00     0.09     1.00   149.70 
    0 2021  0       1.91     0.00     0.00   132.38     0.22 162435.68 162435.68 22779.42   859.49   291.90   342.31   227.39     3.13   188.33     6.34     2.52     0.10   100.00    25.58   331.51     0.00     0.08     1.00   134.51 
    0 2022  0       1.51     0.00     0.00   121.96     0.29 162559.44 162559.44 22749.26   858.08   291.91   342.30   227.47     3.13   188.75     5.71     2.27     0.09   100.00    22.27   331.66     0.00     0.08     1.00   123.76 
    0 2023  0       1.61     0.00     0.00   103.00     0.39 162664.44 162664.44 22725.20   857.09   291.91   342.29   227.55     3.13   189.10     5.14     2.04     0.08   100.00    18.95   331.79     0.00     0.06     1.00   105.00 
    0 2024  0       1.16     0.00     0.00    91.58     0.34 162757.52 162757.52 22706.39   855.96   291.91   342.28   227.61     3.13   189.50     4.63     1.84     0.07   100.00    15.63   331.90     0.00     0.06     1.00    93.08 
    0 2025  0       1.19     0.00     0.00    86.49     0.26 162845.46 162845.46 22686.60   854.32   291.92   342.28   227.67     3.13   189.95     4.16     1.65     0.07   100.00    12.31   332.00     0.00     0.05     1.00    87.94 
    0 2026  0       1.06     0.00     0.00    87.14     0.24 162933.90 162933.90 22668.52   853.18   291.92   342.27   227.73     3.13   190.26     3.75     1.49     0.06   100.00     8.99   332.11     0.00     0.05     1.00    88.44 
    0 2027  0       0.88     0.00     0.00    85.08     0.30 163020.16 163020.16 22647.41   852.15   291.92   342.26   227.79     3.13   190.61     3.37     1.34     0.05   100.00     5.72   332.21     0.00     0.05     1.00    86.26 
    0 2028  0       1.08     0.00     0.00    84.54     0.21 163105.99 163105.99 22627.17   850.76   291.93   342.26   227.85     3.13   191.04     3.03     1.20     0.05   100.00     2.87   332.32     0.00     0.05     1.00    85.83 
    0 2029  0       0.79     0.00     0.00    75.27     0.35 163182.40 163182.40 22608.79   849.54   291.93   342.25   227.91     3.13   191.44     2.73     1.08     0.04   100.00     1.32   332.41     0.00     0.05     1.00    76.41 
    0 2030  0       0.59     0.00     0.00    56.89     0.41 163240.29 163240.29 22594.40   848.94   291.93   342.24   227.95     3.13   191.60     2.46     0.98     0.04   100.00     1.00   332.48     0.00     0.04     1.00    57.89 
