  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
    0 1991  0     133.32     2.56     0.00  1718.98     1.69 139926.55 139926.55 23174.93   519.33   291.74   344.22   211.05     3.12   268.56    63.00    25.00     1.00    74.00    97.00    90.96     0.00     1.33     0.99  1856.55 
    0 1992  0     173.41     3.63     0.00  2263.29     2.02 142368.90 142368.90 23859.98   850.33   291.71   344.15   212.88     3.12   166.87    79.25    31.45     1.26    66.18    97.78    91.84     0.00     1.72     0.99  2442.35 
    0 1993  0     215.65     4.15     0.00  3044.74     2.26 145635.70 145635.70 24641.45  1215.74   291.66   344.07   215.31     3.12   119.28    97.28    40.81     1.63    57.08    98.69    93.00     0.00     2.24     0.99  3266.80 
    0 1994  0     224.36     4.65     0.00  3290.08     2.02 149156.81 149156.81 25321.75  1529.93   291.59   343.99   217.89     3.13    96.90    99.82    42.15     1.69    47.78    99.62    94.26     0.00     2.36     0.99  3521.11 
    0 1995  0     230.09     4.25     0.00  3435.06     1.98 152828.19 152828.19 25880.69  1805.05   291.49   343.92   220.56     3.14    84.06   100.00    42.25     1.69    38.36    99.96    95.58     0.00     2.40     0.99  3671.38 
    0 1996  0     234.95     4.44     0.00  3569.02     1.72 156638.32 156638.32 26267.26  2045.20   291.39   343.85   223.29     3.15    75.95   100.00    42.25     1.69    28.80   100.00    96.94     0.00     2.43     0.99  3810.13 
    0 1997  0     238.64     4.86     0.00  3694.23     2.18 160578.23 160578.23 26491.71  2259.30   291.25   343.80   226.08     3.16    70.55   100.00    42.25     1.69    19.11   100.00    98.35     0.00     2.45     0.99  3939.91 
    0 1998  0     246.34     4.77     0.00  3810.89     2.15 164642.38 164642.38 26557.67  2456.00   291.09   343.76   228.93     3.18    66.42   100.00    42.25     1.69     9.27   100.00    99.80     0.00     2.47     0.99  4064.15 
    0 1999  0     249.40     4.83     0.00  3868.54     2.21 168767.36 168767.36 26485.08  2636.81   290.92   343.73   231.78     3.20    63.34   100.00    42.25     1.69     1.99   100.00   101.28     0.00     2.44     0.99  4124.98 
    0 2000  0     245.86     4.63     0.00  3827.64     2.10 172847.59 172847.59 26272.46  2801.12   290.75   343.74   234.56     3.21    61.09   100.00    42.25     1.69     1.06   100.00   102.74     0.00     2.36     1.00  4080.23 
    0 2001  0     240.83     4.62     0.00  3732.55     2.23 176827.82 176827.82 25991.21  2959.62   290.61   343.76   237.25     3.23    59.18   100.00    42.25     1.69     1.00   100.00   104.16     0.00     2.25     1.00  3980.23 
    0 2002  0     237.76     4.68     0.00  3650.54     2.42 180723.22 180723.22 25649.42  3105.53   290.49   343.80   239.85     3.25    57.55   100.00    42.25     1.69     1.00   100.00   105.55     0.00     2.16     1.00  3895.40 
    0 2003  0     233.52     4.51     0.00  3562.20     1.95 184525.40 184525.40 25280.82  3248.08   290.40   343.85   242.36     3.27    56.21   100.00    42.25     1.69     1.00   100.00   106.91     0.00     2.06     1.00  3802.18 
    0 2004  0     228.07     4.78     0.00  3460.78     2.34 188221.37 188221.37 24923.03  3379.32   290.33   343.92   244.77     3.28    55.13   100.00    42.25     1.69     1.00   100.00   108.24     0.00     1.96     1.00  3695.97 
    0 2005  0     223.98     4.47     0.00  3389.32     1.97 191841.11 191841.11 24553.78  3508.74   290.27   344.00   247.11     3.30    54.12   100.00    42.25     1.69     1.00   100.00   109.53     0.00     1.89     1.00  3619.74 
    0 2006  0     222.35     4.32     0.00  3315.25     2.24 195385.27 195385.27 24220.76  3633.13   290.23   344.08   249.38     3.31    53.17   100.00    42.25     1.69     1.00   100.00   110.80     0.00     1.81     1.00  3544.16 
    0 2007  0     217.81     3.71     0.00  3230.31     2.16 198839.26 198839.26 23890.72  3749.88   290.20   344.18   251.58     3.32    52.39   100.00    42.25     1.69     1.00   100.00   112.03     0.00     1.74     1.00  3453.99 
    0 2008  0     213.75     3.83     0.00  3163.12     2.21 202222.17 202222.17 23598.66  3861.98   290.19   344.28   253.71     3.34    51.72   100.00    42.25     1.69     1.00   100.00   113.24     0.00     1.67     1.00  3382.91 
    0 2009  0     210.22     4.36     0.00  3098.52     2.26 205537.53 205537.53 23363.15  3968.39   290.19   344.38   255.78     3.35    51.22   100.00    42.25     1.69     1.00   100.00   114.43     0.00     1.61     1.00  3315.36 
